drug,condition,rating,has_pred_adr,adr_count,predicted_adrs_str
Jolessa,Birth Control,7,False,0,none
Implanon,Birth Control,8,False,0,none
Metformin,Polycystic Ovary Syndrome,8,True,4,"gastrointestinal, discomfort, food cravings, withdrawal symptoms"
Bupropion,Depression,10,False,0,none
Lorazepam,Anxiety,10,False,0,none
Fetzima,Major Depressive Disorde,10,True,2,"depression, headaches"
Loestrin 24 Fe,Birth Control,1,True,5,"crying, headache, breast, tenderness, acne"
Ethinyl estradiol / norethindrone,Birth Control,2,True,3,"breast, tenderness, insomnia"
Lorcaserin,Weight Loss,10,False,0,none
Nebivolol,High Blood Pressure,10,False,0,none
Copper,Birth Control,10,True,1,painful
Gamunex,Chronic Inflammatory Demyelinating Polyradiculoneuropathy,6,True,2,"blistersash, blotches ."
Zoloft,Post Traumatic Stress Disorde,2,False,0,none
Escitalopram,Depression,8,True,2,"nausea, headache"
Clindamycin,Bacterial Infection,8,True,2,"tooth, infections"
Prochlorperazine,Psychosis,9,True,1,asthma
Lamotrigine,Bipolar Disorde,9,False,0,none
Seasonique,Birth Control,10,False,0,none
Gabapentin,Hot Flashes,1,True,1,breast cancer
Zithromax,Bronchitis,10,True,3,"cough, violent, coughing"
Carbamazepine,Bipolar Disorde,10,True,3,"depression, irritability, depression"
Propranolol,mance Anxiety,10,True,1,anxiety
Suprep Bowel Prep Kit,Bowel Preparation,1,True,1,colon cancer
Propofol,Anesthesia,10,True,1,stress
Montelukast,Asthma,3,True,4,"vivid dreams, snoring, snoring, snoring"
Adapalene / benzoyl peroxide,Acne,8,False,0,none
Amoxicillin,Tonsillitis/Pharyngitis,8,False,0,none
Latuda,Bipolar Disorde,10,True,3,"depression, suicide attempts, mania"
Nexplanon,Birth Control,1,True,2,"fatigue, please"
Cryselle,Birth Control,10,True,1,painful
Etonogestrel,Birth Control,8,True,2,"stomach cramps, painful"
Loestrin 24 Fe,Birth Control,9,False,0,none
Lamictal,Bipolar Disorde,5,True,2,"depression, fall"
Clonazepam,Anxiety,9,True,4,"anxiety, pain, anxiety, pain"
Amitiza,"Constipation, Chronic",7,True,1,nausea
Sertraline,Depression,2,True,2,"anxiety, nausea"
Buspirone,Anxiety,10,True,1,anxiety
Deplin,Depression,8,False,0,none
Kerydin,"Onychomycosis, Toenail",2,False,0,none
Azithromycin,Chlamydia Infection,6,True,2,"burning, pregnancy"
Buspirone,Anxiety,10,True,1,anxiety
Lithium,Mania,10,False,0,none
Clonidine,Opiate Withdrawal,10,True,2,"painful, stress"
Lexapro,Anxiety,1,True,1,anxiety
Guaifenesin,ibromyalgia,10,True,1,fibromyalgia
Nexplanon,Birth Control,3,True,1,headaches
Bupropion,Depression,9,False,0,none
Nexplanon,Birth Control,8,False,0,none
Tapentadol,Pain,1,True,1,headache
Lurasidone,Bipolar Disorde,5,True,1,tachycardia
Ethinyl estradiol / norethindrone,Birth Control,1,True,4,"noticed, mood swings, depression, crying"
Tadalafil,Erectile Dysfunction,1,False,0,none
Acetaminophen / tramadol,Rheumatoid Arthritis,9,True,2,"pain, fatigue"
Tadalafil,Erectile Dysfunction,10,False,0,none
Celecoxib,Osteoarthritis,9,False,0,none
Tramadol,Pain,1,True,4,"arthritis, pain, neuropathy, pain"
Implanon,Birth Control,2,True,1,depression
Ethinyl estradiol / norelgestromin,Birth Control,9,True,1,pain
Vyvanse,ADHD,10,False,0,none
Zantac 150,GERD,9,True,1,gastroparesis
Drospirenone / ethinyl estradiol / levomefolate calcium,Acne,10,True,3,"noticing, painful, pimples"
Kadian,Pain,9,True,3,"pain, participating, breakthrough pain"
Trazodone,Major Depressive Disorde,6,True,1,depression
Clindamycin / tretinoin,Acne,10,True,3,"acne, acne, redness"
Prevpac,Helicobacter Pylori Infection,8,True,4,"bad taste, insomnia, ache, constipation"
Exalgo,Chronic Pain,4,True,4,"back, pain, panic attacks, depression"
Methylphenidate,ADHD,9,True,1,drastically
Rivaroxaban,Pulmonary Embolism,7,True,3,"embol, embol, irritable bowel syndrome"
Buprenorphine,Opiate Dependence,7,False,0,none
Benicar,High Blood Pressure,8,False,0,none
Metronidazole,Clostridial Infection,8,True,1,colitis
Fetzima,Major Depressive Disorde,9,True,1,pain
Armour Thyroid,Thyroid Cance,10,False,0,none
Dexedrine,ADHD,10,False,0,none
Pregabalin,Pain,10,True,1,pain
Citalopram,Depression,9,True,2,"depression, depression"
Ethinyl estradiol / levonorgestrel,Birth Control,1,True,4,"headache, depression, numb, suicide"
Strattera,ADHD,3,True,3,"rash, headache, stomach cramps"
Sprintec,Birth Control,1,True,4,"migra, migra, migra, migra"
Lexapro,Anxiety,7,True,2,"anxiety, anxiety"
Nexplanon,Birth Control,1,False,0,none
Tizanidine,Muscle Spasm,10,True,1,fall
OxyContin,Pain,10,True,1,pain
Suboxone,Opiate Dependence,10,False,0,none
Nexplanon,Birth Control,1,True,2,"anxiety, depression"
Ethinyl estradiol / norethindrone,Birth Control,1,False,0,none
Ceftriaxone,Urinary Tract Infection,10,True,1,notice
Moxifloxacin,Pneumonia,9,True,1,noticed
Plan B One-Step,Emergency Contraception,10,False,0,none
Ethinyl estradiol / norgestimate,Birth Control,8,False,0,none
Imiquimod,Human Papilloma Virus,9,True,1,warts
Microgestin 1 / 20,Birth Control,2,True,3,"ovarian, pain, dry skin"
Ezetimibe,High Cholesterol,3,False,0,none
Phentermine / topiramate,Weight Loss,10,True,1,mouth but
Azithromycin,Sinusitis,8,False,0,none
Fluvoxamine,Obsessive Compulsive Disorde,1,True,4,"depression, anxiety, anxiety, depression"
Zolpidem,Insomnia,10,True,2,"pain, depression"
Loestrin 24 Fe,Acne,10,True,3,"acne, stressy, skin type"
Buprenorphine / naloxone,Opiate Dependence,9,False,0,none
Docosanol,Herpes Simplex,1,True,1,pain
Guanfacine,ADHD,1,True,2,"anxiety, nightmare"
Deplin,Depression,5,False,0,none
Perindopril,High Blood Pressure,9,True,2,"swelling, scary"
Loestrin 24 Fe,Birth Control,5,False,0,none
Gabapentin,Reflex Sympathetic Dystrophy Syndrome,8,True,1,pain
Mirena,Abnormal Uterine Bleeding,10,True,2,"pain, pain"
Duragesic,Pain,10,False,0,none
Medroxyprogesterone,Abnormal Uterine Bleeding,1,False,0,none
Intuniv,ADHD,8,True,2,"notice, teacher"
Fluoxetine,Premenstrual Dysphoric Disorde,10,True,1,irritablity
Fentanyl,Chronic Pain,10,True,2,"chronic, pain"
Adapalene,Acne,9,True,2,"notice, redness"
Imiquimod,Keratosis,5,True,2,"adverse reaction, painful"
Buspirone,Anxiety,4,False,0,none
Propranolol,Anxiety,9,True,4,"anxiety, noticed, worry, headaches"
Vitamin e,Tardive Dyskinesia,1,False,0,none
Benzocaine,Oral and Dental Conditions,1,True,3,"nausea, coughing, wheezing"
Ethinyl estradiol / etonogestrel,Birth Control,10,False,0,none
Ethinyl estradiol / norethindrone,Birth Control,7,True,4,"nausea, breast, tenderness, water retention"
Etonogestrel,Birth Control,5,True,4,"particularly, worry, acne, mood swings"
Phentermine / topiramate,Weight Loss,10,True,1,constipation
Suprep Bowel Prep Kit,Bowel Preparation,5,False,0,none
Dexilant,GERD,8,True,5,"pain, painful, pain, stress, painful"
Sertraline,Depression,10,True,4,"scared, anxiety, depression, anxiety"
Kyleena,Birth Control,10,True,2,"nightmare, pain"
Leuprolide,Prostate Cance,1,True,3,"pain, aches, memory loss"
Codeine / guaifenesin,Cough,1,True,1,cough
Diphenhydramine,Nausea/Vomiting,1,True,1,nausea
Onexton,Acne,10,True,3,"cysts, painful, acne"
Ethinyl estradiol / norethindrone,Birth Control,9,True,1,headaches
Plan B One-Step,Emergency Contraception,10,False,0,none
Divalproex sodium,Migraine Prevention,8,True,3,"migra, migra, migra"
Nicotine,Smoking Cessation,1,True,2,"dangers, particular"
Vyvanse,ADHD,7,False,0,none
Nexplanon,Birth Control,3,True,4,"migra, fall, depression, pregnancy"
Ethinyl estradiol / norethindrone,Acne,1,True,3,"pimples, cystic, acne"
Sprintec,Birth Control,1,True,3,"pregnancy, scare, nausea"
Buspirone,Anxiety,5,True,3,"anxiety, panic attacks, migra"
Desoximetasone,Eczema,10,True,1,eczema
Macrobid,Urinary Tract Infection,5,True,1,noticing
Gabapentin,Bipolar Disorde,9,True,3,"anxiety, bipolar disorder, anxiety"
Boniva,Osteoporosis,9,True,2,"migraine, headaches"
Proctofoam,Hemorrhoids,10,True,3,"pregnancy, burning, swelling"
Amphetamine / dextroamphetamine,ADHD,10,True,2,"binge eating, fall"
Hydromorphone,Chronic Pain,2,False,0,none
Pristiq,Depression,1,True,2,"headaches, nausea"
Ethinyl estradiol / levonorgestrel,Birth Control,10,False,0,none
Tioconazole,Vaginal Yeast Infection,9,True,3,"yeast, infection, burning"
Diltiazem,Angina Pectoris Prophylaxis,10,False,0,none
Acetaminophen / hydrocodone,Back Pain,9,True,1,pains
Latanoprost,Intraocular Hypertension,9,True,1,burning
Phentermine,Obesity,10,False,0,none
Plan B,Emergency Contraception,10,True,2,"accident, stressful"
